dpid,dp_name,taxon_type,site_id,field_domain_id,field_site_name,site_type,field_dominant_nlcd_classes,min_year,max_year,n_years,areaKm2,query_date
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,GRSM,D07,"Great Smoky Mountains National Park, Twin Creeks",Terrestrial,Deciduous Forest|Evergreen Forest,2015,2020,6,32.72719,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,GUAN,D04,Guanica Forest,Terrestrial,Evergreen Forest,2015,2020,6,34.922655,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,HARV,D01,Harvard Forest,Terrestrial,Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands,2013,2020,8,48.094725,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,HEAL,D19,Healy,Terrestrial,Dwarf Scrub|Evergreen Forest|Shrub/Scrub,2015,2020,6,45.168147,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,JERC,D03,Jones Ecological Research Center,Terrestrial,Cultivated Crops|Deciduous Forest|Evergreen Forest|Mixed Forest,2014,2020,7,13.3259,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,JORN,D14,Jornada LTER,Terrestrial,Shrub/Scrub,2015,2020,6,45.746148,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,KONA,D06,Konza Prairie Biological Station - Relocatable,Terrestrial,Cultivated Crops,2017,2020,4,2.749077,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,KONZ,D06,Konza Prairie Biological Station,Terrestrial,Deciduous Forest|Grassland/Herbaceous,2015,2020,6,34.868609,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,LAJA,D04,Lajas Experimental Station,Terrestrial,Cultivated Crops|Grassland/Herbaceous|Pasture/Hay,2016,2020,5,3.948086,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,LENO,D08,Lenoir Landing,Terrestrial,Deciduous Forest|Woody Wetlands,2016,2020,5,7.680081,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,MLBS,D07,Mountain Lake Biological Station,Terrestrial,Deciduous Forest,2017,2020,4,11.148950000000001,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,MOAB,D13,Moab,Terrestrial,Evergreen Forest|Shrub/Scrub,2015,2020,6,50.4276,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,NIWO,D13,Niwot Ridge Mountain Research Station,Terrestrial,Evergreen Forest|Grassland/Herbaceous,2015,2020,6,13.396032,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,NOGP,D09,Northern Great Plains Research Laboratory,Terrestrial,Grassland/Herbaceous,2016,2020,5,6.019261,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,OAES,D11,Klemme Range Research Station,Terrestrial,Grassland/Herbaceous|Shrub/Scrub,2015,2020,6,6.209108,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,ONAQ,D15,Onaqui,Terrestrial,Evergreen Forest|Shrub/Scrub,2014,2020,7,67.774086,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,ORNL,D07,Oak Ridge,Terrestrial,Deciduous Forest|Evergreen Forest|Pasture/Hay,2014,2020,7,57.371094,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,OSBS,D03,Ordway-Swisher Biological Station,Terrestrial,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,2013,2020,8,36.808639,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,PUUM,D20,Pu'u Maka'ala Natural Area Reserve,Terrestrial,Evergreen Forest,2019,2020,2,47.196598,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,RMNP,D10,"Rocky Mountain National Park, CASTNET",Terrestrial,Evergreen Forest,2017,2020,4,46.526444,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,SCBI,D02,Smithsonian Conservation Biology Institute,Terrestrial,Deciduous Forest|Evergreen Forest|Pasture/Hay,2014,2020,7,9.863216,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,SERC,D02,Smithsonian Environmental Research Center,Terrestrial,Cultivated Crops|Deciduous Forest,2015,2020,6,10.327769,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,SJER,D17,San Joaquin Experimental Range,Terrestrial,Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub,2016,2020,5,18.222906,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,SOAP,D17,Soaproot Saddle,Terrestrial,Evergreen Forest|Shrub/Scrub,2018,2020,3,5.822705,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,SRER,D14,Santa Rita Experimental Range,Terrestrial,Shrub/Scrub,2016,2020,5,214.897271,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,STEI,D05,Steigerwaldt Land Services,Terrestrial,Deciduous Forest|Mixed Forest|Woody Wetlands,2015,2020,6,23.723814,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,STER,D10,"North Sterling, CO",Terrestrial,Cultivated Crops,2013,2020,8,3.234318,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,TALL,D08,Talladega National Forest,Terrestrial,Deciduous Forest|Evergreen Forest|Mixed Forest,2014,2020,7,52.342968,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,TEAK,D17,Lower Teakettle,Terrestrial,Evergreen Forest|Shrub/Scrub,2019,2020,2,51.381475,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,TOOL,D18,Toolik,Terrestrial,Dwarf Scrub|Shrub/Scrub,2017,2020,4,58.656826,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,TREE,D05,Treehaven,Terrestrial,Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands,2015,2020,6,5.431672000000001,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,UKFS,D06,The University of Kansas Field Station,Terrestrial,Deciduous Forest|Pasture/Hay,2015,2020,6,6.201129,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,UNDE,D05,UNDERC,Terrestrial,Deciduous Forest|Mixed Forest|Woody Wetlands,2014,2020,7,29.39245,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,WOOD,D09,Woodworth,Terrestrial,Emergent Herbaceous Wetlands|Grassland/Herbaceous,2014,2020,7,10.630176,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,WREF,D16,Wind River Experimental Forest,Terrestrial,Evergreen Forest,2018,2020,3,41.939962,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,YELL,D12,Yellowstone Northern Range (Frog Rock),Terrestrial,Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub,2018,2020,3,72.50336,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,ABBY,D16,Abby Road,Terrestrial,Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub,2017,2019,3,29.868771,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,BARR,D18,Utqiaġvik,Terrestrial,Emergent Herbaceous Wetlands,2017,2019,3,50.076533,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,BART,D01,Bartlett Experimental Forest,Terrestrial,Deciduous Forest|Evergreen Forest|Mixed Forest,2015,2019,5,15.657434,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,BLAN,D02,Blandy Experimental Farm,Terrestrial,Deciduous Forest|Pasture/Hay,2017,2019,3,5.7282589999999995,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,BONA,D19,Caribou-Poker Creeks Research Watershed,Terrestrial,Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands,2017,2019,3,49.633223,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,CLBJ,D11,LBJ National Grassland,Terrestrial,Deciduous Forest|Grassland/Herbaceous,2017,2019,3,41.883456,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,CPER,D10,Central Plains Experimental Range,Terrestrial,Grassland/Herbaceous,2013,2019,6,65.398127,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,DCFS,D09,Dakota Coteau Field School,Terrestrial,Grassland/Herbaceous,2017,2019,3,7.798688,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,DEJU,D19,Delta Junction,Terrestrial,Evergreen Forest|Shrub/Scrub|Woody Wetlands,2017,2019,3,29.903834,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,DELA,D08,Dead Lake,Terrestrial,Evergreen Forest|Woody Wetlands,2015,2019,4,4.103929,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,DSNY,D03,Disney Wilderness Preserve,Terrestrial,Pasture/Hay|Woody Wetlands,2015,2019,5,48.504342,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,GRSM,D07,"Great Smoky Mountains National Park, Twin Creeks",Terrestrial,Deciduous Forest|Evergreen Forest,2016,2019,4,32.72719,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,GUAN,D04,Guanica Forest,Terrestrial,Evergreen Forest,2015,2019,4,34.922655,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,HARV,D01,Harvard Forest,Terrestrial,Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands,2015,2019,5,48.094725,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,HEAL,D19,Healy,Terrestrial,Dwarf Scrub|Evergreen Forest|Shrub/Scrub,2017,2019,3,45.168147,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,JERC,D03,Jones Ecological Research Center,Terrestrial,Cultivated Crops|Deciduous Forest|Evergreen Forest|Mixed Forest,2016,2019,4,13.3259,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,JORN,D14,Jornada LTER,Terrestrial,Shrub/Scrub,2017,2019,3,45.746148,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,KONA,D06,Konza Prairie Biological Station - Relocatable,Terrestrial,Cultivated Crops,2018,2019,2,2.749077,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,KONZ,D06,Konza Prairie Biological Station,Terrestrial,Deciduous Forest|Grassland/Herbaceous,2017,2019,3,34.868609,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,LAJA,D04,Lajas Experimental Station,Terrestrial,Cultivated Crops|Grassland/Herbaceous|Pasture/Hay,2017,2019,3,3.948086,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,LENO,D08,Lenoir Landing,Terrestrial,Deciduous Forest|Woody Wetlands,2017,2019,3,7.680081,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,MLBS,D07,Mountain Lake Biological Station,Terrestrial,Deciduous Forest,2018,2019,2,11.148950000000001,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,MOAB,D13,Moab,Terrestrial,Evergreen Forest|Shrub/Scrub,2015,2019,4,50.4276,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,NIWO,D13,Niwot Ridge Mountain Research Station,Terrestrial,Evergreen Forest|Grassland/Herbaceous,2015,2019,4,13.396032,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,NOGP,D09,Northern Great Plains Research Laboratory,Terrestrial,Grassland/Herbaceous,2017,2019,3,6.019261,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,OAES,D11,Klemme Range Research Station,Terrestrial,Grassland/Herbaceous|Shrub/Scrub,2017,2019,3,6.209108,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,ONAQ,D15,Onaqui,Terrestrial,Evergreen Forest|Shrub/Scrub,2017,2019,3,67.774086,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,ORNL,D07,Oak Ridge,Terrestrial,Deciduous Forest|Evergreen Forest|Pasture/Hay,2016,2019,4,57.371094,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,OSBS,D03,Ordway-Swisher Biological Station,Terrestrial,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,2016,2019,4,36.808639,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,PUUM,D20,Pu'u Maka'ala Natural Area Reserve,Terrestrial,Evergreen Forest,2018,2018,1,47.196598,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,RMNP,D10,"Rocky Mountain National Park, CASTNET",Terrestrial,Evergreen Forest,2017,2019,3,46.526444,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,SCBI,D02,Smithsonian Conservation Biology Institute,Terrestrial,Deciduous Forest|Evergreen Forest|Pasture/Hay,2015,2019,5,9.863216,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,SERC,D02,Smithsonian Environmental Research Center,Terrestrial,Cultivated Crops|Deciduous Forest,2017,2019,3,10.327769,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,SJER,D17,San Joaquin Experimental Range,Terrestrial,Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub,2017,2019,3,18.222906,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,SOAP,D17,Soaproot Saddle,Terrestrial,Evergreen Forest|Shrub/Scrub,2017,2019,3,5.822705,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,SRER,D14,Santa Rita Experimental Range,Terrestrial,Shrub/Scrub,2017,2019,3,214.897271,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,STEI,D05,Steigerwaldt Land Services,Terrestrial,Deciduous Forest|Mixed Forest|Woody Wetlands,2016,2019,4,23.723814,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,STER,D10,"North Sterling, CO",Terrestrial,Cultivated Crops,2013,2019,6,3.234318,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,TALL,D08,Talladega National Forest,Terrestrial,Deciduous Forest|Evergreen Forest|Mixed Forest,2015,2019,5,52.342968,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,TEAK,D17,Lower Teakettle,Terrestrial,Evergreen Forest|Shrub/Scrub,2017,2019,3,51.381475,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,TOOL,D18,Toolik,Terrestrial,Dwarf Scrub|Shrub/Scrub,2017,2019,3,58.656826,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,TREE,D05,Treehaven,Terrestrial,Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands,2016,2019,4,5.431672000000001,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,UKFS,D06,The University of Kansas Field Station,Terrestrial,Deciduous Forest|Pasture/Hay,2017,2019,3,6.201129,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,UNDE,D05,UNDERC,Terrestrial,Deciduous Forest|Mixed Forest|Woody Wetlands,2016,2019,4,29.39245,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,WOOD,D09,Woodworth,Terrestrial,Emergent Herbaceous Wetlands|Grassland/Herbaceous,2015,2019,4,10.630176,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,WREF,D16,Wind River Experimental Forest,Terrestrial,Evergreen Forest,2018,2019,2,41.939962,2020-12-11
DP1.10003.001,Breeding landbird point counts,bird,YELL,D12,Yellowstone Northern Range (Frog Rock),Terrestrial,Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub,2018,2019,2,72.50336,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,ARIK,D10,Arikaree River,Wadeable Stream,Emergent Herbaceous Wetlands|Grassland/Herbaceous|Woody Wetlands,2016,2020,5,0.40915498919,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,BIGC,D17,Upper Big Creek,Wadeable Stream,Evergreen Forest,2018,2020,3,2.67142367476,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,BLDE,D12,Blacktail Deer Creek,Wadeable Stream,Emergent Herbaceous Wetlands|Shrub/Scrub,2018,2020,3,0.15751924304,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,BLUE,D11,Blue River,Non-wadeable River,Grassland/Herbaceous|Pasture/Hay,2017,2018,2,0.27099930994,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,CARI,D19,"Caribou Creek, Caribou-Poker Creeks Research Watershed",Wadeable Stream,Woody Wetlands,2016,2020,5,0.44187954121,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,CRAM,D05,Crampton Lake,Lake,Woody Wetlands,2016,2020,5,0.265836,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,CUPE,D04,Rio Cupeyes,Wadeable Stream,Evergreen Forest,2017,2020,4,0.23068260117,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,GUIL,D04,Rio Guilarte,Wadeable Stream,Evergreen Forest|Grassland/Herbaceous,2017,2020,4,0.39871927692,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,HOPB,D01,Lower Hop Brook,Wadeable Stream,Evergreen Forest|Mixed Forest,2016,2019,4,0.31972397454,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,KING,D06,Kings Creek,Wadeable Stream,Deciduous Forest,2016,2020,5,0.27455940575,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,LECO,D07,LeConte Creek,Wadeable Stream,Deciduous Forest,2016,2019,4,0.39756788466,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,LEWI,D02,Lewis Run,Wadeable Stream,Deciduous Forest,2017,2020,4,0.26955141011,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,LIRO,D05,Little Rock Lake,Lake,Deciduous Forest|Mixed Forest,2017,2020,4,0.192374,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,MART,D16,Martha Creek,Wadeable Stream,Evergreen Forest,2018,2020,3,0.39867403159,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,MAYF,D08,Mayfield Creek,Wadeable Stream,Deciduous Forest|Mixed Forest,2016,2020,5,0.40659785258,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,MCDI,D06,McDiffett Creek,Wadeable Stream,Cultivated Crops|Grassland/Herbaceous,2017,2020,4,0.13359802998,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,MCRA,D16,McRae Creek,Wadeable Stream,Evergreen Forest,2017,2019,3,0.40338653655,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,OKSR,D18,Oksrukuyik Creek,Wadeable Stream,Shrub/Scrub,2019,2020,2,0.39148336156,2020-12-11
DP1.20107.001,"Fish electrofishing, gill netting, and fyke netting counts",fish,POSE,D02,Posey Creek,Wadeable Stream,Deciduous Forest,2016,2019,4,0.39458563883,2020-12-11
