observation_id,event_id,package_id,location_id,datetime,taxon_id,variable_name,value,unit
ob_760,ev_760,edi.193.1,lo_7,2006-04-08,tx_14,abundance,3,
ob_766,ev_766,edi.193.1,lo_4,2006-08-08,tx_3,abundance,7,
ob_769,ev_769,edi.193.1,lo_4,2006-08-08,tx_62,abundance,1,
ob_772,ev_772,edi.193.1,lo_5,2006-08-08,tx_14,abundance,3,
ob_774,ev_774,edi.193.1,lo_5,2006-08-08,tx_11,abundance,1,
ob_775,ev_775,edi.193.1,lo_5,2006-08-08,tx_3,abundance,8,
ob_777,ev_777,edi.193.1,lo_5,2006-08-08,tx_37,abundance,1,
ob_780,ev_780,edi.193.1,lo_6,2006-08-08,tx_3,abundance,2,
ob_782,ev_782,edi.193.1,lo_7,2006-08-08,tx_3,abundance,2,
ob_783,ev_783,edi.193.1,lo_7,2006-08-08,tx_37,abundance,6,
ob_784,ev_784,edi.193.1,lo_7,2006-08-08,tx_62,abundance,2,
ob_786,ev_786,edi.193.1,lo_7,2006-08-08,tx_14,abundance,1,
ob_788,ev_788,edi.193.1,lo_7,2006-08-08,tx_80,abundance,1,
ob_792,ev_792,edi.193.1,lo_10,2007-07-17,tx_2,abundance,1,
ob_793,ev_793,edi.193.1,lo_10,2007-07-17,tx_3,abundance,1,
ob_794,ev_794,edi.193.1,lo_10,2007-07-17,tx_13,abundance,1,
ob_797,ev_797,edi.193.1,lo_10,2007-07-17,tx_14,abundance,1,
ob_802,ev_802,edi.193.1,lo_11,2007-07-17,tx_3,abundance,1,
ob_806,ev_806,edi.193.1,lo_11,2007-07-17,tx_14,abundance,1,
ob_807,ev_807,edi.193.1,lo_11,2007-07-17,tx_46,abundance,1,
ob_808,ev_808,edi.193.1,lo_11,2007-07-17,tx_40,abundance,1,
ob_814,ev_814,edi.193.1,lo_12,2007-07-17,tx_46,abundance,1,
ob_815,ev_815,edi.193.1,lo_12,2007-07-17,tx_3,abundance,1,
ob_816,ev_816,edi.193.1,lo_12,2007-07-17,tx_40,abundance,1,
ob_817,ev_817,edi.193.1,lo_12,2007-07-17,tx_14,abundance,1,
ob_818,ev_818,edi.193.1,lo_12,2007-07-17,tx_2,abundance,1,
ob_827,ev_827,edi.193.1,lo_13,2007-07-17,tx_77,abundance,1,
ob_828,ev_828,edi.193.1,lo_13,2007-07-17,tx_14,abundance,1,
ob_829,ev_829,edi.193.1,lo_13,2007-07-17,tx_3,abundance,1,
ob_831,ev_831,edi.193.1,lo_13,2007-07-17,tx_40,abundance,1,
ob_832,ev_832,edi.193.1,lo_10,2007-07-19,tx_3,abundance,1,
ob_837,ev_837,edi.193.1,lo_10,2007-07-19,tx_14,abundance,1,
ob_841,ev_841,edi.193.1,lo_10,2007-07-19,tx_2,abundance,1,
ob_878,ev_878,edi.193.1,lo_11,2007-07-19,tx_14,abundance,1,
ob_881,ev_881,edi.193.1,lo_11,2007-07-19,tx_3,abundance,1,
ob_884,ev_884,edi.193.1,lo_11,2007-07-19,tx_2,abundance,1,
ob_891,ev_891,edi.193.1,lo_12,2007-07-19,tx_3,abundance,1,
ob_892,ev_892,edi.193.1,lo_12,2007-07-19,tx_2,abundance,1,
ob_918,ev_918,edi.193.1,lo_12,2007-07-19,tx_74,abundance,1,
ob_931,ev_931,edi.193.1,lo_13,2007-07-19,tx_3,abundance,1,
ob_935,ev_935,edi.193.1,lo_4,2007-07-23,tx_13,abundance,1,
ob_936,ev_936,edi.193.1,lo_4,2007-07-23,tx_3,abundance,1,
ob_937,ev_937,edi.193.1,lo_4,2007-07-23,tx_14,abundance,1,
ob_941,ev_941,edi.193.1,lo_4,2007-07-23,tx_39,abundance,1,
ob_942,ev_942,edi.193.1,lo_5,2007-07-23,tx_14,abundance,1,
ob_944,ev_944,edi.193.1,lo_5,2007-07-23,tx_13,abundance,1,
ob_946,ev_946,edi.193.1,lo_5,2007-07-23,tx_2,abundance,1,
ob_947,ev_947,edi.193.1,lo_5,2007-07-23,tx_3,abundance,1,
ob_949,ev_949,edi.193.1,lo_5,2007-07-23,tx_31,abundance,1,
ob_953,ev_953,edi.193.1,lo_6,2007-07-23,tx_3,abundance,1,
ob_955,ev_955,edi.193.1,lo_6,2007-07-23,tx_14,abundance,1,
ob_957,ev_957,edi.193.1,lo_7,2007-07-23,tx_3,abundance,1,
ob_960,ev_960,edi.193.1,lo_7,2007-07-23,tx_2,abundance,1,
ob_963,ev_963,edi.193.1,lo_7,2007-07-23,tx_39,abundance,1,
ob_972,ev_972,edi.193.1,lo_7,2007-07-23,tx_40,abundance,1,
ob_975,ev_975,edi.193.1,lo_4,2007-07-25,tx_3,abundance,1,
ob_976,ev_976,edi.193.1,lo_4,2007-07-25,tx_40,abundance,1,
ob_978,ev_978,edi.193.1,lo_4,2007-07-25,tx_73,abundance,1,
