observation_ancillary_id,event_id,variable_name,value,unit
oban_1330,ev_1330,trap.type,pitfall,
oban_1331,ev_1331,trap.type,pitfall,
oban_1334,ev_1334,trap.type,pitfall,
oban_1341,ev_1341,trap.type,pitfall,
oban_1346,ev_1346,trap.type,pitfall,
oban_1348,ev_1348,trap.type,pitfall,
oban_1349,ev_1349,trap.type,pitfall,
oban_1351,ev_1351,trap.type,pitfall,
oban_1353,ev_1353,trap.type,pitfall,
oban_1356,ev_1356,trap.type,pitfall,
oban_1357,ev_1357,trap.type,pitfall,
oban_1358,ev_1358,trap.type,pitfall,
oban_1365,ev_1365,trap.type,pitfall,
oban_1388,ev_1388,trap.type,pitfall,
oban_1391,ev_1391,trap.type,pitfall,
oban_1392,ev_1392,trap.type,pitfall,
oban_1394,ev_1394,trap.type,pitfall,
oban_1398,ev_1398,trap.type,pitfall,
oban_1400,ev_1400,trap.type,pitfall,
oban_1415,ev_1415,trap.type,pitfall,
oban_1420,ev_1420,trap.type,pitfall,
oban_1433,ev_1433,trap.type,pitfall,
oban_1436,ev_1436,trap.type,pitfall,
oban_1437,ev_1437,trap.type,pitfall,
oban_1438,ev_1438,trap.type,pitfall,
oban_1469,ev_1469,trap.type,pitfall,
oban_1470,ev_1470,trap.type,pitfall,
oban_1473,ev_1473,trap.type,pitfall,
oban_1482,ev_1482,trap.type,pitfall,
oban_1483,ev_1483,trap.type,pitfall,
oban_1484,ev_1484,trap.type,pitfall,
oban_1485,ev_1485,trap.type,pitfall,
oban_1492,ev_1492,trap.type,pitfall,
oban_1493,ev_1493,trap.type,pitfall,
oban_1497,ev_1497,trap.type,pitfall,
oban_1499,ev_1499,trap.type,pitfall,
oban_1500,ev_1500,trap.type,pitfall,
oban_1504,ev_1504,trap.type,pitfall,
oban_1505,ev_1505,trap.type,pitfall,
oban_1509,ev_1509,trap.type,pitfall,
oban_1511,ev_1511,trap.type,pitfall,
oban_1512,ev_1512,trap.type,pitfall,
oban_1526,ev_1526,trap.type,pitfall,
oban_1529,ev_1529,trap.type,pitfall,
oban_1530,ev_1530,trap.type,pitfall,
oban_1531,ev_1531,trap.type,pitfall,
oban_1532,ev_1532,trap.type,pitfall,
oban_1535,ev_1535,trap.type,pitfall,
oban_1547,ev_1547,trap.type,pitfall,
oban_1550,ev_1550,trap.type,pitfall,
oban_1551,ev_1551,trap.type,pitfall,
oban_1553,ev_1553,trap.type,pitfall,
oban_1554,ev_1554,trap.type,pitfall,
oban_1558,ev_1558,trap.type,pitfall,
oban_1564,ev_1564,trap.type,pitfall,
oban_1582,ev_1582,trap.type,pitfall,
oban_1583,ev_1583,trap.type,pitfall,
oban_1590,ev_1590,trap.type,pitfall,
oban_1591,ev_1591,trap.type,pitfall,
oban_1592,ev_1592,trap.type,pitfall,
oban_1609,ev_1609,trap.type,pitfall,
oban_1611,ev_1611,trap.type,pitfall,
oban_1617,ev_1617,trap.type,pitfall,
oban_1624,ev_1624,trap.type,pitfall,
oban_1625,ev_1625,trap.type,pitfall,
oban_1626,ev_1626,trap.type,pitfall,
oban_1627,ev_1627,trap.type,pitfall,
oban_1646,ev_1646,trap.type,pitfall,
oban_1648,ev_1648,trap.type,pitfall,
oban_1653,ev_1653,trap.type,pitfall,
oban_1659,ev_1659,trap.type,pitfall,
oban_1662,ev_1662,trap.type,pitfall,
oban_1663,ev_1663,trap.type,pitfall,
oban_1664,ev_1664,trap.type,pitfall,
oban_1667,ev_1667,trap.type,pitfall,
oban_1669,ev_1669,trap.type,pitfall,
oban_1672,ev_1672,trap.type,pitfall,
oban_1676,ev_1676,trap.type,pitfall,
oban_1680,ev_1680,trap.type,pitfall,
oban_1683,ev_1683,trap.type,pitfall,
oban_1684,ev_1684,trap.type,pitfall,
oban_1685,ev_1685,trap.type,pitfall,
oban_1687,ev_1687,trap.type,pitfall,
oban_1696,ev_1696,trap.type,pitfall,
oban_1706,ev_1706,trap.type,pitfall,
oban_1708,ev_1708,trap.type,pitfall,
oban_1711,ev_1711,trap.type,pitfall,
oban_1712,ev_1712,trap.type,pitfall,
oban_1713,ev_1713,trap.type,pitfall,
oban_1714,ev_1714,trap.type,pitfall,
oban_1717,ev_1717,trap.type,pitfall,
oban_1718,ev_1718,trap.type,pitfall,
oban_1721,ev_1721,trap.type,pitfall,
oban_1727,ev_1727,trap.type,pitfall,
oban_1736,ev_1736,trap.type,pitfall,
oban_1744,ev_1744,trap.type,pitfall,
oban_1767,ev_1767,trap.type,pitfall,
oban_1784,ev_1784,trap.type,pitfall,
oban_1785,ev_1785,trap.type,pitfall,
oban_1793,ev_1793,trap.type,pitfall,
oban_1794,ev_1794,trap.type,pitfall,
oban_1797,ev_1797,trap.type,pitfall,
oban_1799,ev_1799,trap.type,pitfall,
oban_1810,ev_1810,trap.type,pitfall,
oban_1812,ev_1812,trap.type,pitfall,
oban_1814,ev_1814,trap.type,pitfall,
oban_1835,ev_1835,trap.type,pitfall,
oban_1836,ev_1836,trap.type,pitfall,
oban_1837,ev_1837,trap.type,pitfall,
oban_1844,ev_1844,trap.type,pitfall,
oban_1855,ev_1855,trap.type,pitfall,
oban_1860,ev_1860,trap.type,pitfall,
oban_1868,ev_1868,trap.type,pitfall,
oban_1877,ev_1877,trap.type,pitfall,
oban_1878,ev_1878,trap.type,pitfall,
oban_1884,ev_1884,trap.type,pitfall,
oban_1885,ev_1885,trap.type,pitfall,
oban_1886,ev_1886,trap.type,pitfall,
oban_1887,ev_1887,trap.type,pitfall,
oban_1888,ev_1888,trap.type,pitfall,
oban_1890,ev_1890,trap.type,pitfall,
oban_1897,ev_1897,trap.type,pitfall,
oban_1903,ev_1903,trap.type,pitfall,
oban_1917,ev_1917,trap.type,pitfall,
oban_1923,ev_1923,trap.type,pitfall,
oban_1924,ev_1924,trap.type,pitfall,
oban_1929,ev_1929,trap.type,pitfall,
oban_1930,ev_1930,trap.type,pitfall,
oban_1933,ev_1933,trap.type,pitfall,
oban_1935,ev_1935,trap.type,pitfall,
oban_1939,ev_1939,trap.type,pitfall,
oban_1940,ev_1940,trap.type,pitfall,
oban_1941,ev_1941,trap.type,pitfall,
oban_1942,ev_1942,trap.type,pitfall,
oban_1944,ev_1944,trap.type,pitfall,
oban_1945,ev_1945,trap.type,pitfall,
oban_1949,ev_1949,trap.type,pitfall,
oban_1951,ev_1951,trap.type,pitfall,
oban_1953,ev_1953,trap.type,pitfall,
oban_1956,ev_1956,trap.type,pitfall,
oban_1957,ev_1957,trap.type,pitfall,
oban_1965,ev_1965,trap.type,pitfall,
oban_1969,ev_1969,trap.type,pitfall,
oban_1974,ev_1974,trap.type,pitfall,
oban_1993,ev_1993,trap.type,pitfall,
oban_2004,ev_2004,trap.type,pitfall,
oban_2024,ev_2024,trap.type,pitfall,
oban_2025,ev_2025,trap.type,pitfall,
oban_2038,ev_2038,trap.type,pitfall,
oban_2040,ev_2040,trap.type,pitfall,
oban_2046,ev_2046,trap.type,pitfall,
oban_2047,ev_2047,trap.type,pitfall,
oban_2048,ev_2048,trap.type,pitfall,
oban_2049,ev_2049,trap.type,pitfall,
oban_2053,ev_2053,trap.type,pitfall,
oban_2055,ev_2055,trap.type,pitfall,
oban_2058,ev_2058,trap.type,pitfall,
oban_2061,ev_2061,trap.type,pitfall,
oban_2078,ev_2078,trap.type,pitfall,
oban_2121,ev_2121,trap.type,pitfall,
oban_2158,ev_2158,trap.type,pitfall,
oban_2161,ev_2161,trap.type,pitfall,
oban_2170,ev_2170,trap.type,pitfall,
oban_2172,ev_2172,trap.type,pitfall,
oban_2182,ev_2182,trap.type,pitfall,
oban_2187,ev_2187,trap.type,pitfall,
oban_2188,ev_2188,trap.type,pitfall,
oban_2189,ev_2189,trap.type,pitfall,
oban_2190,ev_2190,trap.type,pitfall,
oban_2194,ev_2194,trap.type,pitfall,
oban_2201,ev_2201,trap.type,pitfall,
oban_2211,ev_2211,trap.type,pitfall,
oban_2223,ev_2223,trap.type,pitfall,
oban_2241,ev_2241,trap.type,pitfall,
oban_2250,ev_2250,trap.type,pitfall,
oban_2261,ev_2261,trap.type,pitfall,
oban_2264,ev_2264,trap.type,pitfall,
oban_2265,ev_2265,trap.type,pitfall,
oban_2271,ev_2271,trap.type,pitfall,
oban_2272,ev_2272,trap.type,pitfall,
oban_2283,ev_2283,trap.type,pitfall,
oban_2285,ev_2285,trap.type,pitfall,
oban_2288,ev_2288,trap.type,pitfall,
oban_2289,ev_2289,trap.type,pitfall,
oban_2290,ev_2290,trap.type,pitfall,
oban_2291,ev_2291,trap.type,pitfall,
oban_2292,ev_2292,trap.type,pitfall,
oban_2294,ev_2294,trap.type,pitfall,
oban_2299,ev_2299,trap.type,pitfall,
oban_2303,ev_2303,trap.type,pitfall,
oban_2304,ev_2304,trap.type,pitfall,
oban_2305,ev_2305,trap.type,pitfall,
oban_2310,ev_2310,trap.type,pitfall,
oban_2313,ev_2313,trap.type,pitfall,
oban_2315,ev_2315,trap.type,pitfall,
oban_2322,ev_2322,trap.type,pitfall,
oban_2323,ev_2323,trap.type,pitfall,
oban_2327,ev_2327,trap.type,pitfall,
oban_2328,ev_2328,trap.type,pitfall,
oban_2334,ev_2334,trap.type,pitfall,
oban_2335,ev_2335,trap.type,pitfall,
oban_2337,ev_2337,trap.type,pitfall,
oban_2339,ev_2339,trap.type,pitfall,
oban_2341,ev_2341,trap.type,pitfall,
oban_2343,ev_2343,trap.type,pitfall,
oban_2362,ev_2362,trap.type,pitfall,
oban_2365,ev_2365,trap.type,pitfall,
oban_2368,ev_2368,trap.type,pitfall,
oban_2369,ev_2369,trap.type,pitfall,
oban_2373,ev_2373,trap.type,pitfall,
oban_2378,ev_2378,trap.type,pitfall,
oban_2381,ev_2381,trap.type,pitfall,
oban_2382,ev_2382,trap.type,pitfall,
oban_2384,ev_2384,trap.type,pitfall,
oban_2386,ev_2386,trap.type,pitfall,
oban_2388,ev_2388,trap.type,pitfall,
oban_2403,ev_2403,trap.type,pitfall,
oban_2412,ev_2412,trap.type,pitfall,
oban_2421,ev_2421,trap.type,pitfall,
oban_2434,ev_2434,trap.type,pitfall,
oban_2435,ev_2435,trap.type,pitfall,
oban_2440,ev_2440,trap.type,pitfall,
oban_2441,ev_2441,trap.type,pitfall,
oban_2453,ev_2453,trap.type,pitfall,
oban_2466,ev_2466,trap.type,pitfall,
oban_2484,ev_2484,trap.type,pitfall,
oban_2485,ev_2485,trap.type,pitfall,
oban_2498,ev_2498,trap.type,pitfall,
oban_2499,ev_2499,trap.type,pitfall,
oban_2500,ev_2500,trap.type,pitfall,
oban_2501,ev_2501,trap.type,pitfall,
oban_2510,ev_2510,trap.type,pitfall,
oban_2511,ev_2511,trap.type,pitfall,
oban_2513,ev_2513,trap.type,pitfall,
oban_2514,ev_2514,trap.type,pitfall,
oban_2515,ev_2515,trap.type,pitfall,
oban_2517,ev_2517,trap.type,pitfall,
oban_2518,ev_2518,trap.type,pitfall,
oban_2519,ev_2519,trap.type,pitfall,
oban_2520,ev_2520,trap.type,pitfall,
oban_2524,ev_2524,trap.type,pitfall,
oban_2528,ev_2528,trap.type,pitfall,
oban_2529,ev_2529,trap.type,pitfall,
oban_2539,ev_2539,trap.type,pitfall,
oban_2541,ev_2541,trap.type,pitfall,
oban_2543,ev_2543,trap.type,pitfall,
oban_2546,ev_2546,trap.type,pitfall,
oban_2549,ev_2549,trap.type,pitfall,
oban_2557,ev_2557,trap.type,pitfall,
oban_2565,ev_2565,trap.type,pitfall,
oban_2572,ev_2572,trap.type,pitfall,
oban_2573,ev_2573,trap.type,pitfall,
oban_2574,ev_2574,trap.type,pitfall,
oban_2576,ev_2576,trap.type,pitfall,
oban_2579,ev_2579,trap.type,pitfall,
oban_2582,ev_2582,trap.type,pitfall,
oban_2585,ev_2585,trap.type,pitfall,
oban_2586,ev_2586,trap.type,pitfall,
oban_2588,ev_2588,trap.type,pitfall,
oban_2594,ev_2594,trap.type,pitfall,
oban_2596,ev_2596,trap.type,pitfall,
oban_2597,ev_2597,trap.type,pitfall,
